Value,Datetime,TimeNum,AM,PM,Week of Month,Week of Year,Day of Week,Day of Month,quarter,isWorkingTime
28125.46,2020-01-01 00:00:00,0,1,0,1,1,3,1,1,0
26548.41,2020-01-01 01:00:00,3600,1,0,1,1,3,1,1,0
25287.99,2020-01-01 02:00:00,7200,1,0,1,1,3,1,1,0
24311.53,2020-01-01 03:00:00,10800,1,0,1,1,3,1,1,0
23730.48,2020-01-01 04:00:00,14400,1,0,1,1,3,1,1,0
23535.52,2020-01-01 05:00:00,18000,1,0,1,1,3,1,1,0
23774.24,2020-01-01 06:00:00,21600,1,0,1,1,3,1,1,0
24112.0,2020-01-01 07:00:00,25200,1,0,1,1,3,1,1,0
24196.77,2020-01-01 08:00:00,28800,1,0,1,1,3,1,1,0
25402.1,2020-01-01 09:00:00,32400,1,0,1,1,3,1,1,1
26788.47,2020-01-01 10:00:00,36000,1,0,1,1,3,1,1,1
28060.72,2020-01-01 11:00:00,39600,1,0,1,1,3,1,1,1
28700.55,2020-01-01 12:00:00,43200,0,1,1,1,3,1,1,1
29224.32,2020-01-01 13:00:00,46800,0,1,1,1,3,1,1,1
29613.62,2020-01-01 14:00:00,50400,0,1,1,1,3,1,1,1
30313.96,2020-01-01 15:00:00,54000,0,1,1,1,3,1,1,1
31318.36,2020-01-01 16:00:00,57600,0,1,1,1,3,1,1,1
33214.7,2020-01-01 17:00:00,61200,0,1,1,1,3,1,1,1
34667.61,2020-01-01 18:00:00,64800,0,1,1,1,3,1,1,0
34356.8,2020-01-01 19:00:00,68400,0,1,1,1,3,1,1,0
33546.76,2020-01-01 20:00:00,72000,0,1,1,1,3,1,1,0
33004.97,2020-01-01 21:00:00,75600,0,1,1,1,3,1,1,0
32080.63,2020-01-01 22:00:00,79200,0,1,1,1,3,1,1,0
30793.95,2020-01-01 23:00:00,82800,0,1,1,1,3,1,1,0
29132.07,2020-01-02 00:00:00,0,1,0,1,1,4,2,1,0
27694.66,2020-01-02 01:00:00,3600,1,0,1,1,4,2,1,0
26662.38,2020-01-02 02:00:00,7200,1,0,1,1,4,2,1,0
26111.08,2020-01-02 03:00:00,10800,1,0,1,1,4,2,1,0
25939.56,2020-01-02 04:00:00,14400,1,0,1,1,4,2,1,0
26425.33,2020-01-02 05:00:00,18000,1,0,1,1,4,2,1,0
27675.23,2020-01-02 06:00:00,21600,1,0,1,1,4,2,1,0
30819.25,2020-01-02 07:00:00,25200,1,0,1,1,4,2,1,0
36065.98,2020-01-02 08:00:00,28800,1,0,1,1,4,2,1,0
39141.53,2020-01-02 09:00:00,32400,1,0,1,1,4,2,1,1
40060.11,2020-01-02 10:00:00,36000,1,0,1,1,4,2,1,1
40493.42,2020-01-02 11:00:00,39600,1,0,1,1,4,2,1,1
39176.39,2020-01-02 12:00:00,43200,0,1,1,1,4,2,1,1
39682.56,2020-01-02 13:00:00,46800,0,1,1,1,4,2,1,1
40259.63,2020-01-02 14:00:00,50400,0,1,1,1,4,2,1,1
40331.29,2020-01-02 15:00:00,54000,0,1,1,1,4,2,1,1
40904.43,2020-01-02 16:00:00,57600,0,1,1,1,4,2,1,1
41728.62,2020-01-02 17:00:00,61200,0,1,1,1,4,2,1,1
41220.41,2020-01-02 18:00:00,64800,0,1,1,1,4,2,1,0
39948.23,2020-01-02 19:00:00,68400,0,1,1,1,4,2,1,0
38933.35,2020-01-02 20:00:00,72000,0,1,1,1,4,2,1,0
37670.91,2020-01-02 21:00:00,75600,0,1,1,1,4,2,1,0
36485.42,2020-01-02 22:00:00,79200,0,1,1,1,4,2,1,0
34740.57,2020-01-02 23:00:00,82800,0,1,1,1,4,2,1,0
32285.62,2020-01-03 00:00:00,0,1,0,1,1,5,3,1,0
30433.66,2020-01-03 01:00:00,3600,1,0,1,1,5,3,1,0
29163.8,2020-01-03 02:00:00,7200,1,0,1,1,5,3,1,0
28554.01,2020-01-03 03:00:00,10800,1,0,1,1,5,3,1,0
28446.72,2020-01-03 04:00:00,14400,1,0,1,1,5,3,1,0
28853.57,2020-01-03 05:00:00,18000,1,0,1,1,5,3,1,0
29951.9,2020-01-03 06:00:00,21600,1,0,1,1,5,3,1,0
32879.26,2020-01-03 07:00:00,25200,1,0,1,1,5,3,1,0
37342.36,2020-01-03 08:00:00,28800,1,0,1,1,5,3,1,0
40071.64,2020-01-03 09:00:00,32400,1,0,1,1,5,3,1,1
40422.42,2020-01-03 10:00:00,36000,1,0,1,1,5,3,1,1
40864.42,2020-01-03 11:00:00,39600,1,0,1,1,5,3,1,1
39173.84,2020-01-03 12:00:00,43200,0,1,1,1,5,3,1,1
38051.53,2020-01-03 13:00:00,46800,0,1,1,1,5,3,1,1
39477.93,2020-01-03 14:00:00,50400,0,1,1,1,5,3,1,1
39601.16,2020-01-03 15:00:00,54000,0,1,1,1,5,3,1,1
40277.26,2020-01-03 16:00:00,57600,0,1,1,1,5,3,1,1
41411.18,2020-01-03 17:00:00,61200,0,1,1,1,5,3,1,1
41059.2,2020-01-03 18:00:00,64800,0,1,1,1,5,3,1,0
39702.42,2020-01-03 19:00:00,68400,0,1,1,1,5,3,1,0
38714.3,2020-01-03 20:00:00,72000,0,1,1,1,5,3,1,0
